student_id,department,attendance_rate,previous_gpa,attendance_trend,marks_trend,algorithms_internal,algorithms_external,algorithms_attendance,data_structures_internal,data_structures_external,data_structures_attendance,database_systems_internal,database_systems_external,database_systems_attendance,operating_systems_internal,operating_systems_external,operating_systems_attendance,software_engineering_internal,software_engineering_external,software_engineering_attendance,dsa_lab_internal,dsa_lab_external,dsa_lab_attendance,dbms_lab_internal,dbms_lab_external,dbms_lab_attendance,computer_networks_lab_internal,computer_networks_lab_external,computer_networks_lab_attendance,computer_graphics_lab_internal,computer_graphics_lab_external,computer_graphics_lab_attendance,data_science_lab_internal,data_science_lab_external,data_science_lab_attendance,performance_score,performance_band,at_risk,risk_score
STU-0011,CSE,68.81,7.35,5.62,7.98,19.71,27.98,68.43,19.63,42.06,60.39,22.16,40.24,79.85,19.1,30.53,51.94,19.14,25.96,55.32,22.64,18.33,82.94,20.8,44.34,58.47,23.82,44.96,61.95,21.0,19.76,52.46,14.4,50.24,68.78,59.64,Medium,No,40.4
STU-0012,CSE,53.75,6.77,11.27,29.54,25.24,31.2,59.49,19.43,30.85,57.6,19.67,35.56,54.17,19.35,42.69,49.62,13.48,46.12,45.72,14.9,41.39,61.09,20.93,37.03,48.03,23.18,9.05,61.72,10.63,23.77,48.6,30.0,70.0,60.81,58.26,Medium,Yes,61.7
STU-0013,CSE,81.66,10.0,-7.12,-23.74,21.78,17.07,83.22,17.25,32.75,83.21,17.64,58.04,62.3,20.38,31.81,77.56,21.52,28.24,83.3,18.94,35.09,76.95,19.23,33.48,81.73,18.61,35.83,97.56,22.08,39.26,83.12,14.87,38.45,78.46,63.31,Medium,Yes,95.9
STU-0014,CSE,81.95,7.39,5.87,24.14,13.77,50.81,76.89,18.22,36.47,100.0,16.69,13.97,65.95,23.8,65.05,75.13,26.39,56.12,80.06,18.7,47.71,90.73,21.99,34.85,80.21,29.91,48.77,90.64,22.7,49.1,83.04,24.49,55.78,84.59,68.72,Medium,Yes,51.3
STU-0015,CSE,52.04,9.35,1.96,-8.39,16.53,50.78,51.37,18.46,70.0,36.65,24.79,32.06,53.35,30.0,30.56,44.8,19.91,32.29,60.88,17.33,54.81,38.75,10.97,41.57,36.35,27.59,22.05,41.66,22.07,36.2,36.86,30.0,29.98,50.08,67.9,Medium,Yes,42.2
STU-0016,CSE,78.44,7.27,-17.12,-6.71,18.95,55.65,83.07,15.87,40.11,76.17,23.74,27.48,98.62,16.2,44.87,66.84,13.51,31.88,68.74,17.93,30.32,85.4,16.09,31.59,74.51,24.96,48.22,77.45,12.83,27.86,65.66,26.53,52.96,69.83,60.52,Medium,No,73.2
STU-0017,CSE,86.03,7.81,19.01,-18.33,17.18,32.62,77.18,22.3,40.69,100.0,26.25,64.64,92.75,17.89,53.97,82.55,28.15,51.06,88.66,20.64,70.0,71.7,29.19,42.21,71.97,16.24,20.24,92.57,14.81,47.53,97.38,16.64,40.98,73.0,70.18,Medium,Yes,71.8
STU-0018,CSE,80.62,5.91,-14.39,-16.32,18.06,70.0,88.4,18.68,35.82,80.19,20.65,38.71,85.92,15.23,30.62,84.32,14.16,55.94,80.47,10.86,46.64,63.76,23.47,41.27,99.13,25.36,29.09,60.41,16.22,26.68,98.87,19.95,59.0,77.77,61.19,Medium,No,80.0
STU-0019,CSE,84.48,6.96,4.19,6.05,19.1,44.51,95.55,21.56,29.14,100.0,18.54,38.17,56.18,23.17,46.52,85.48,17.99,36.37,80.78,22.32,54.59,82.17,24.74,43.82,79.44,20.99,24.61,86.81,12.29,29.58,64.29,19.12,69.14,83.31,64.47,Medium,No,35.5
STU-0020,CSE,53.94,7.75,3.9,-16.68,23.22,70.0,57.98,16.17,35.59,53.94,16.84,36.63,63.79,25.13,20.3,45.75,17.68,53.99,65.37,30.0,38.01,49.78,22.94,34.77,52.53,17.92,5.68,55.17,19.09,64.07,53.99,13.73,41.13,33.03,63.53,Medium,Yes,76.5
STU-0021,CSE,79.97,9.4,2.76,11.1,13.95,54.53,77.49,24.61,15.5,77.54,17.62,59.34,86.69,23.21,68.12,76.28,26.68,29.34,69.16,23.76,22.43,85.69,20.51,61.08,79.37,20.28,52.64,73.34,16.47,52.12,79.67,17.96,43.76,95.91,72.67,Medium,No,27.3
STU-0022,CSE,70.46,7.77,-4.95,-9.94,17.78,37.92,53.39,19.79,54.85,78.82,20.54,59.34,77.77,25.56,59.76,86.16,19.15,25.09,77.1,23.9,68.55,83.27,29.73,54.3,72.75,13.08,49.62,64.94,21.06,45.82,75.18,19.51,59.03,43.23,74.36,Medium,No,45.0
STU-0023,CSE,67.76,9.16,8.27,-18.2,20.95,63.04,86.46,23.66,70.0,69.45,20.01,52.94,67.73,16.09,37.27,56.64,22.64,45.17,64.16,17.17,52.58,75.56,14.35,25.68,77.3,13.12,53.21,83.93,28.1,56.07,74.85,30.0,9.98,63.11,72.04,Medium,Yes,69.8
STU-0024,CSE,88.06,8.27,-15.6,-7.92,24.24,39.94,100.0,19.8,46.98,85.31,17.39,36.79,90.77,16.13,59.3,94.59,25.5,28.07,71.06,19.98,70.0,100.0,17.23,51.37,95.33,13.16,65.54,86.38,19.55,45.36,99.5,16.22,19.4,91.29,68.92,Medium,Yes,84.0
STU-0025,CSE,97.19,9.45,-0.66,5.05,9.78,40.48,100.0,22.9,60.64,100.0,30.0,36.18,100.0,17.81,59.35,96.57,28.59,37.04,100.0,22.97,44.51,100.0,21.31,50.34,95.12,16.49,39.97,80.36,24.21,26.47,95.01,23.24,57.59,79.44,72.94,Medium,No,28.1
STU-0026,CSE,100.0,7.43,-5.64,-4.16,19.54,51.9,100.0,26.72,32.67,79.51,24.05,36.94,82.41,19.21,63.46,87.37,30.0,32.43,100.0,13.9,45.62,98.66,12.55,70.0,95.05,17.53,59.54,100.0,25.63,26.98,100.0,10.59,58.53,83.65,68.8,Medium,No,44.6
STU-0027,CSE,94.72,10.0,-6.77,0.51,15.98,44.95,99.17,18.7,67.79,100.0,23.22,26.56,100.0,15.98,70.0,100.0,22.56,60.48,63.89,19.02,61.53,100.0,13.9,40.59,69.36,22.06,16.75,100.0,25.91,37.88,99.93,18.91,48.63,83.25,74.55,Medium,Yes,55.6
STU-0028,CSE,73.35,6.92,4.29,10.44,23.11,20.38,55.05,19.39,41.83,76.08,16.75,70.0,74.96,21.16,47.96,83.38,22.88,51.63,80.71,10.88,18.2,72.59,19.01,53.7,73.55,22.91,26.32,73.25,13.29,50.8,54.57,21.74,22.97,69.52,61.02,Medium,Yes,59.0
STU-0029,CSE,80.29,6.58,10.77,16.24,24.47,48.41,63.83,16.64,22.48,63.34,20.59,53.4,84.7,23.01,44.82,77.56,14.63,38.4,67.08,15.77,46.33,79.11,30.0,24.81,79.04,12.88,39.18,76.82,24.22,38.26,78.38,17.85,23.98,73.77,59.31,Medium,Yes,60.7
STU-0030,CSE,86.5,6.05,-3.43,-4.65,18.09,46.11,92.09,18.83,41.22,69.29,22.7,34.56,93.97,26.58,42.18,76.27,19.92,50.23,83.35,17.18,53.45,91.48,18.27,20.19,91.07,16.16,48.22,88.01,10.56,46.22,91.65,23.19,46.76,66.73,61.49,Medium,Yes,69.2
STU-0031,CSE,76.82,10.0,7.81,-15.66,26.39,51.17,64.78,16.06,48.47,83.62,17.56,57.38,58.89,14.79,14.03,67.84,27.54,70.0,79.16,16.81,41.68,81.55,12.19,36.41,91.17,14.77,33.76,76.95,21.42,35.62,77.59,23.04,70.0,75.56,72.04,Medium,Yes,66.8
STU-0032,CSE,76.96,8.48,0.5,1.14,19.79,67.91,71.47,13.38,48.75,87.72,21.81,43.54,62.48,19.71,63.5,64.62,18.78,39.19,69.98,21.24,51.65,81.29,15.12,20.31,79.59,17.47,70.0,95.81,29.95,30.9,82.66,24.35,56.38,73.42,72.63,Medium,Yes,47.4
STU-0033,CSE,87.36,7.1,-8.93,7.06,26.4,45.01,88.64,12.31,54.67,84.75,22.32,48.53,89.17,19.77,56.8,85.37,12.72,53.53,79.27,13.38,29.67,90.19,19.52,13.01,83.52,25.85,38.23,85.7,25.21,56.93,97.57,6.14,70.0,93.72,65.88,Medium,Yes,67.5
STU-0034,CSE,74.11,9.0,-2.58,-21.91,30.0,33.27,56.48,20.04,40.87,80.65,25.37,43.69,71.7,22.61,41.16,70.71,25.19,63.9,84.95,19.16,12.9,72.63,16.21,43.05,67.4,19.9,29.41,61.3,26.11,30.46,74.11,24.77,58.71,82.06,68.08,Medium,Yes,82.1
STU-0035,CSE,64.06,8.33,-2.99,-13.36,21.51,55.86,77.79,22.13,17.44,58.78,23.48,35.59,80.26,19.68,46.28,75.31,19.09,47.64,73.05,12.64,40.72,72.35,20.33,67.01,48.3,11.55,56.55,72.72,19.03,51.01,71.51,15.93,34.4,65.96,67.12,Medium,Yes,73.4
STU-0036,CSE,68.78,9.86,-6.97,-10.79,24.52,27.51,66.8,18.78,51.27,68.7,17.27,63.73,63.39,18.54,21.13,61.65,22.58,49.81,74.78,22.75,70.0,61.3,11.9,29.24,61.75,15.13,46.4,81.31,27.7,52.56,90.2,18.22,20.51,79.31,70.67,Medium,Yes,72.7
STU-0037,CSE,84.51,5.64,4.28,-3.12,10.81,33.67,89.71,19.49,42.14,72.7,19.95,60.05,84.71,15.85,26.29,76.41,21.96,50.15,76.5,8.95,51.3,75.53,23.45,33.66,74.63,20.77,70.0,92.0,20.68,50.38,67.0,14.39,7.34,100.0,59.73,Medium,Yes,64.0
STU-0038,CSE,75.04,7.18,2.35,-11.42,27.64,50.89,76.4,12.24,41.71,92.97,20.66,36.53,57.46,26.9,43.95,57.48,15.38,25.84,73.73,21.04,37.45,82.82,20.39,60.93,71.47,30.0,36.53,66.01,14.87,41.84,57.85,21.47,16.42,76.66,62.4,Medium,Yes,71.3
STU-0039,CSE,80.1,6.94,-15.91,10.61,13.24,39.28,86.15,30.0,28.83,78.6,16.38,31.95,72.95,24.12,37.68,100.0,22.08,29.85,76.44,15.99,57.0,63.72,13.3,36.13,86.93,26.17,65.71,85.4,19.59,56.92,68.66,10.78,51.55,70.05,63.92,Medium,No,59.9
STU-0040,CSE,85.05,5.13,-16.52,-24.08,19.67,46.79,87.53,24.69,57.48,87.0,17.79,46.62,79.09,19.02,70.0,86.87,22.25,34.42,95.25,23.8,56.51,87.2,25.17,64.08,87.88,19.43,58.42,76.01,16.41,44.2,67.64,24.14,30.56,80.34,67.65,Medium,No,86.0
STU-0041,CSE,69.38,8.77,4.25,-23.7,18.93,45.59,65.94,19.66,44.11,64.91,16.13,61.22,48.33,18.97,37.97,73.57,12.73,37.5,68.35,25.35,49.98,57.54,17.56,58.29,57.37,19.61,44.86,65.52,30.0,38.81,73.88,16.17,52.92,78.09,70.39,Medium,No,58.0
STU-0042,CSE,86.34,7.18,-8.15,-5.01,17.06,44.18,77.39,14.28,60.55,80.8,7.93,70.0,78.32,18.77,69.61,84.93,19.18,26.58,70.0,19.17,50.44,89.4,17.59,45.3,67.97,22.3,47.42,100.0,20.04,30.86,85.84,18.36,51.52,86.61,67.5,Medium,No,50.7
STU-0043,CSE,80.68,8.39,3.02,-2.63,13.7,20.46,83.31,26.92,46.19,88.82,25.06,49.0,72.54,20.98,63.11,85.98,23.74,38.06,78.66,19.41,44.23,92.36,8.26,45.46,79.89,13.14,55.08,73.44,18.21,70.0,90.78,22.87,50.71,79.04,70.28,Medium,Yes,52.9
STU-0044,CSE,56.48,10.0,7.81,-21.82,30.0,57.03,48.98,13.0,53.5,55.92,12.86,51.43,53.79,22.65,51.63,50.4,23.16,37.53,52.15,17.34,61.96,53.67,26.86,70.0,49.09,5.4,60.67,53.06,15.67,36.17,52.33,26.49,47.4,69.31,78.14,High,Yes,48.0
STU-0045,CSE,96.63,7.08,-12.71,-9.1,22.47,40.36,92.73,22.81,57.31,100.0,18.69,47.63,100.0,18.08,27.98,88.57,18.79,54.93,100.0,13.22,36.04,93.06,23.97,37.08,92.34,12.94,52.25,95.02,16.73,41.11,100.0,14.98,32.38,100.0,63.45,Medium,No,66.5
STU-0046,CSE,67.49,6.99,-14.12,-6.02,20.38,55.05,71.51,19.82,39.78,75.8,25.81,61.26,55.63,26.52,39.63,59.94,19.15,57.47,72.89,18.72,57.56,68.89,17.14,34.38,71.59,19.59,24.37,75.96,17.6,68.88,53.46,19.1,34.5,57.73,67.44,Medium,No,61.0
STU-0047,CSE,50.17,7.64,16.74,-5.9,17.57,70.0,51.61,16.04,17.57,32.96,17.32,35.49,47.93,8.64,43.62,60.45,28.11,16.58,42.16,15.73,47.19,37.98,28.41,45.65,48.94,27.96,44.76,54.18,16.25,24.44,44.07,30.0,54.5,52.92,64.1,Medium,Yes,63.0
STU-0048,CSE,59.32,8.68,3.52,2.28,15.12,58.67,45.75,12.16,36.62,78.87,29.49,38.23,52.58,11.8,46.17,60.94,23.95,58.66,57.35,22.78,34.49,64.69,17.46,51.89,63.11,20.34,56.92,43.62,14.68,40.95,44.89,17.97,39.38,72.42,68.58,Medium,Yes,31.4
STU-0049,CSE,59.68,6.82,-4.19,-9.92,20.71,60.44,62.7,17.32,47.01,66.98,25.97,43.02,43.21,11.41,40.1,36.31,28.98,53.95,53.33,14.45,60.42,48.55,14.91,33.51,60.83,23.1,62.89,70.13,20.0,60.31,52.97,10.9,34.93,51.62,68.77,Medium,Yes,49.4
STU-0050,CSE,75.78,6.74,-9.34,22.17,16.84,30.61,71.17,23.1,70.0,58.53,13.56,33.13,83.44,18.98,34.14,82.95,24.78,44.72,67.62,21.35,41.5,73.37,17.44,58.87,78.28,25.18,65.04,80.37,17.47,60.6,80.44,30.0,49.65,82.76,69.28,Medium,No,44.7
STU-0051,CSE,70.89,8.77,-5.1,7.32,21.45,43.51,68.3,21.47,52.82,82.44,21.54,38.06,67.62,13.39,69.92,65.48,24.84,49.15,73.93,19.41,33.18,61.21,28.64,46.71,82.14,26.92,38.84,75.13,20.23,27.64,69.04,22.94,37.51,67.64,69.93,Medium,No,37.7
STU-0052,CSE,69.95,7.95,-11.91,-12.11,19.13,70.0,51.61,22.51,41.2,63.54,18.61,55.01,77.19,20.93,61.39,82.64,24.08,36.81,74.89,22.5,32.77,54.25,9.89,46.05,72.93,14.09,60.69,71.47,26.75,50.56,59.28,22.29,55.05,64.47,72.96,Medium,No,59.4
STU-0053,CSE,84.3,5.05,8.83,1.42,12.79,46.5,74.29,25.6,38.89,100.0,9.38,47.02,98.59,15.55,42.61,80.27,16.58,48.67,71.34,19.45,52.74,82.14,15.0,60.45,91.6,14.79,25.59,74.78,22.73,49.13,92.2,18.37,31.13,93.48,59.81,Medium,No,40.2
STU-0054,CSE,80.1,6.03,-7.77,1.86,17.23,47.8,64.6,17.15,60.14,72.94,24.07,10.03,74.5,19.14,70.0,68.41,23.35,60.85,72.88,18.13,47.12,65.28,17.72,64.14,85.32,19.22,46.7,85.91,23.86,36.65,95.45,26.58,55.16,71.67,67.53,Medium,Yes,64.1
STU-0055,CSE,79.74,9.3,10.94,18.22,14.9,40.1,80.35,11.16,52.42,92.62,22.88,34.86,71.8,21.5,42.7,84.17,23.01,61.38,68.42,21.11,39.55,78.75,24.32,59.6,93.73,22.13,43.35,77.21,11.33,65.1,76.52,22.53,55.18,67.29,74.3,Medium,No,25.7
STU-0056,CSE,81.15,7.98,-4.01,-9.01,15.38,68.21,84.05,17.1,43.1,92.01,24.67,23.01,97.49,24.83,42.71,69.23,25.27,52.15,66.57,18.84,70.0,81.31,16.29,29.87,98.87,24.24,66.11,83.63,26.27,32.28,82.77,21.44,65.74,84.34,72.17,Medium,No,44.6
STU-0057,CSE,84.24,6.59,-10.43,11.51,16.87,45.96,67.48,8.4,57.47,80.49,18.69,57.46,98.21,22.67,70.0,89.27,21.51,48.61,71.39,24.78,8.32,78.38,20.11,33.15,79.72,29.2,61.56,77.38,17.65,25.84,91.29,18.75,15.5,85.25,63.68,Medium,Yes,72.0
STU-0058,CSE,43.38,7.3,-4.26,0.63,22.19,59.45,42.65,18.14,70.0,43.45,23.6,36.91,50.28,12.72,38.07,31.3,16.98,63.76,37.26,23.59,67.76,43.1,24.97,52.97,44.55,23.75,70.0,37.01,15.2,29.73,53.32,25.65,36.94,22.02,73.61,Medium,Yes,32.8
STU-0059,CSE,69.53,7.52,-26.24,22.37,16.63,53.22,68.87,20.9,37.15,79.67,21.72,53.8,71.12,22.62,51.88,60.25,21.87,56.87,81.08,22.08,30.52,61.42,17.82,47.84,68.31,14.38,28.05,48.55,4.4,43.02,92.74,28.98,30.33,71.03,64.4,Medium,No,75.0
STU-0060,CSE,42.3,8.38,-1.21,19.36,12.68,25.32,30.32,18.87,42.26,44.82,23.32,39.95,42.66,14.53,24.83,27.31,23.25,39.93,23.59,19.68,26.27,58.9,17.11,55.22,53.19,15.23,46.14,47.83,20.58,50.42,29.0,22.77,37.71,45.79,62.56,Medium,Yes,59.3
STU-0061,CSE,75.54,5.87,-1.7,2.95,24.6,55.03,79.03,23.21,55.33,90.5,19.83,47.46,84.86,17.55,24.97,80.47,18.97,26.89,80.55,27.16,20.55,85.76,7.31,39.0,93.95,18.36,46.35,83.17,11.42,46.08,76.18,29.31,26.46,71.73,58.85,Medium,No,43.7
STU-0062,CSE,74.93,6.49,8.25,-3.93,15.36,29.48,86.2,20.13,36.67,69.75,17.18,37.89,62.29,18.71,39.61,67.35,20.78,48.6,69.36,19.28,70.0,96.13,14.73,31.28,64.34,25.29,39.02,77.33,29.98,44.84,81.99,22.6,36.18,85.52,62.86,Medium,No,41.9
STU-0063,CSE,90.68,7.83,-18.86,7.6,15.75,65.1,84.81,17.61,28.67,81.44,17.87,8.53,88.35,17.46,56.85,94.91,16.46,38.12,88.34,27.43,32.67,83.49,14.36,22.77,93.75,21.01,64.24,100.0,30.0,43.89,88.08,13.5,55.45,91.87,64.51,Medium,Yes,83.8
STU-0064,CSE,92.81,7.38,11.62,-2.71,23.26,27.91,96.33,21.03,47.09,85.98,25.95,70.0,81.71,23.6,1.83,99.5,10.65,37.13,79.68,18.92,57.58,74.24,18.2,37.3,100.0,22.16,27.34,88.1,27.78,55.72,83.63,18.66,41.47,87.43,64.04,Medium,Yes,59.2
STU-0065,CSE,78.04,8.19,8.21,25.2,11.45,34.84,91.93,18.09,43.45,79.45,30.0,45.13,88.98,17.01,41.11,78.17,16.13,41.94,86.92,16.0,45.0,85.13,15.88,61.43,78.77,19.17,14.88,74.31,21.86,70.0,83.72,25.63,26.86,76.77,65.32,Medium,Yes,54.7
STU-0066,CSE,67.49,6.02,12.52,1.18,26.1,31.68,77.15,23.67,49.12,64.21,15.07,70.0,73.81,21.7,38.81,67.87,20.82,51.0,74.84,16.09,23.0,68.34,11.26,40.15,62.4,22.46,70.0,48.05,30.0,41.5,70.97,12.93,59.95,67.91,66.09,Medium,Yes,53.9
STU-0067,CSE,82.28,7.93,-0.53,-6.08,19.69,15.94,83.02,24.23,41.46,94.02,25.66,35.38,98.23,20.23,45.75,83.27,20.35,5.55,80.42,13.18,69.4,98.14,24.26,41.42,72.2,16.71,70.0,75.36,8.22,60.45,97.28,28.3,60.58,94.29,67.56,Medium,Yes,60.5
STU-0068,CSE,67.08,8.81,10.14,-6.89,20.26,13.86,67.36,23.11,42.97,65.27,15.18,29.97,85.46,29.37,44.96,69.9,15.1,54.64,84.68,12.35,51.96,72.47,22.64,69.64,87.44,18.83,55.1,67.92,16.84,49.06,73.8,21.08,31.78,62.45,67.97,Medium,Yes,60.3
STU-0069,CSE,74.98,8.08,-14.71,-18.2,17.72,32.36,78.11,22.09,59.69,66.4,17.11,68.32,73.33,20.15,42.37,86.31,25.86,61.7,75.24,15.64,70.0,83.54,17.72,66.36,69.62,27.05,67.17,65.76,22.91,56.73,100.0,16.29,66.49,75.15,79.84,High,No,64.1
STU-0070,CSE,89.79,7.67,7.13,8.35,13.79,43.2,89.82,14.71,49.68,99.37,21.19,36.87,88.31,19.98,48.26,100.0,21.36,23.96,84.17,20.83,61.86,100.0,28.87,46.96,97.43,12.73,51.45,79.04,19.69,70.0,92.83,15.68,51.12,84.62,68.93,Medium,No,31.1
STU-0071,CSE,66.63,7.38,-7.71,-12.3,15.2,70.0,77.3,21.73,39.12,63.53,27.71,49.6,35.81,30.0,47.75,70.07,25.43,51.98,74.1,17.88,26.55,69.44,27.16,35.28,59.35,26.11,38.14,62.53,18.13,44.03,50.9,17.3,48.46,68.87,69.66,Medium,No,56.7
STU-0072,CSE,87.09,6.5,-16.51,16.47,25.79,70.0,100.0,24.57,42.77,80.85,20.09,53.78,95.3,23.12,43.18,94.95,26.3,58.2,86.77,15.83,32.14,80.27,21.29,52.8,72.94,17.48,48.65,78.09,22.17,40.39,79.85,20.27,50.88,78.6,70.36,Medium,No,54.4
STU-0073,CSE,85.16,7.41,-11.24,-19.39,18.79,52.02,77.54,11.71,21.95,80.98,13.41,39.78,100.0,13.11,40.76,100.0,22.04,39.48,83.59,22.15,70.0,79.85,16.21,24.32,86.19,12.97,38.04,76.07,25.37,37.37,89.13,11.98,46.97,73.13,61.19,Medium,Yes,98.9
STU-0074,CSE,60.68,9.01,0.06,1.91,17.87,70.0,70.0,19.36,70.0,51.53,25.83,22.01,58.24,13.26,48.86,61.24,18.46,61.38,55.01,21.63,57.31,45.85,16.26,45.81,66.98,27.11,41.76,57.51,15.64,49.95,57.71,18.63,43.59,66.19,74.95,Medium,No,25.0
STU-0075,CSE,89.61,7.36,-8.24,17.25,17.18,33.42,93.93,4.87,35.94,78.1,26.02,38.39,84.0,19.76,36.07,85.58,20.49,38.67,85.32,14.95,27.69,90.21,21.53,23.58,97.21,23.82,59.62,92.61,23.19,70.0,86.59,14.77,21.99,100.0,60.78,Medium,Yes,71.6
STU-0076,CSE,85.48,6.43,3.76,-32.28,28.84,31.13,78.21,18.38,63.36,72.61,10.17,70.0,88.6,22.27,41.92,90.14,12.43,32.39,86.53,8.65,40.46,81.84,18.49,36.73,75.52,10.89,47.17,82.48,13.12,45.94,82.53,17.69,12.65,92.31,59.47,Medium,Yes,99.3
STU-0077,CSE,76.53,6.91,-18.08,30.27,13.83,45.95,68.45,18.06,62.28,81.85,25.65,49.96,80.49,11.09,40.24,74.28,26.12,37.41,79.18,21.13,62.37,75.19,24.14,19.43,60.39,8.58,56.79,83.27,24.48,34.84,70.89,19.39,66.66,93.47,66.58,Medium,No,60.5
STU-0078,CSE,63.57,7.74,-21.27,-6.38,23.97,49.97,76.92,18.72,39.14,62.27,15.11,42.37,52.39,25.13,53.16,77.86,11.85,70.0,47.84,14.01,35.69,76.64,21.13,41.34,55.64,13.12,61.99,71.55,26.76,50.95,37.14,13.78,51.97,59.87,69.81,Medium,No,69.7
STU-0079,CSE,62.11,7.05,13.72,2.12,17.21,28.45,71.59,22.28,52.52,55.78,20.88,24.93,60.81,7.36,21.48,58.89,30.0,17.99,49.68,21.08,70.0,64.13,23.51,39.94,57.01,20.41,35.13,69.35,11.97,58.35,62.51,18.93,20.36,52.31,58.96,Medium,Yes,61.0
STU-0080,CSE,66.94,8.08,9.04,8.57,25.99,41.87,69.72,15.6,44.56,53.21,20.5,50.56,70.14,15.48,39.87,72.31,18.94,40.69,85.97,15.25,61.21,55.39,23.27,55.62,61.83,13.91,15.44,60.78,22.63,28.84,67.9,12.62,41.49,55.46,64.46,Medium,Yes,55.5
STU-0081,CSE,83.14,8.13,-10.49,10.89,19.61,37.48,71.24,16.71,30.99,70.0,25.41,39.6,61.12,16.88,58.72,75.53,27.49,32.15,88.17,25.18,51.75,69.39,15.29,62.55,75.09,24.88,38.55,84.55,13.07,35.88,74.39,21.13,46.4,87.77,67.32,Medium,No,48.4
STU-0082,CSE,60.67,8.57,-0.03,4.11,17.55,31.05,62.49,14.85,61.18,59.52,18.37,51.93,59.9,11.71,29.08,71.24,20.42,19.78,64.19,17.2,31.88,49.22,25.0,15.52,52.29,20.6,68.68,66.2,15.77,67.94,47.11,21.33,52.32,51.85,66.66,Medium,No,33.4
